epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.24287,1.97012,4.0357,2.26699,0.00096,0.2934,0.00412,0.00133,2.24557,4.36574,3.05165,0.07003,3e-05,3e-05
2,9.61972,1.74941,3.51916,1.94706,0.00181,0.64753,0.03837,0.01275,2.09838,3.67516,2.41733,0.0390608,6.07967e-05,6.07967e-05
3,13.7454,1.68719,3.19287,1.84536,0.45726,0.23633,0.11754,0.05368,1.79682,3.11239,2.03491,0.00809139,9.13867e-05,9.13867e-05
4,17.8664,1.6376,3.03301,1.82474,0.40672,0.18752,0.1896,0.087,1.72049,2.89212,2.01883,9.9e-05,9.9e-05,9.9e-05
5,22.021,1.57781,2.87745,1.78398,0.31069,0.38535,0.25458,0.12955,1.68391,2.56395,1.9946,9.86667e-05,9.86667e-05,9.86667e-05
6,26.1029,1.59349,2.7999,1.78941,0.31672,0.32845,0.26385,0.14406,1.67057,2.54483,1.93863,9.83334e-05,9.83334e-05,9.83334e-05
7,30.2454,1.56878,2.65673,1.75945,0.38763,0.42221,0.32919,0.16902,1.63237,2.3543,1.91192,9.8e-05,9.8e-05,9.8e-05
8,34.4363,1.58149,2.66077,1.75835,0.46924,0.38145,0.36795,0.21065,1.60711,2.25356,1.88962,9.76667e-05,9.76667e-05,9.76667e-05
9,38.6028,1.52217,2.51399,1.72054,0.49752,0.43287,0.4224,0.24105,1.54901,2.18712,1.84333,9.73334e-05,9.73334e-05,9.73334e-05
10,42.8339,1.46206,2.43431,1.68381,0.55402,0.41648,0.41038,0.21043,1.55767,2.21608,1.83868,9.7e-05,9.7e-05,9.7e-05
11,46.934,1.47769,2.42805,1.68031,0.61163,0.45829,0.46265,0.2712,1.5374,2.02431,1.80789,9.66667e-05,9.66667e-05,9.66667e-05
12,50.9837,1.46455,2.31498,1.66644,0.62145,0.48964,0.49844,0.28174,1.55302,1.99288,1.84636,9.63334e-05,9.63334e-05,9.63334e-05
13,55.0095,1.44883,2.26586,1.65925,0.65942,0.52627,0.5651,0.36445,1.42496,1.84413,1.71808,9.6e-05,9.6e-05,9.6e-05
14,58.9802,1.38015,2.17584,1.60396,0.66584,0.53187,0.56537,0.35054,1.44239,1.83241,1.74187,9.56667e-05,9.56667e-05,9.56667e-05
15,62.9526,1.41393,2.18293,1.63082,0.77631,0.50763,0.57839,0.34309,1.48055,1.75643,1.69189,9.53334e-05,9.53334e-05,9.53334e-05
16,66.9317,1.36933,2.06445,1.59147,0.71366,0.51876,0.58837,0.35622,1.4556,1.74961,1.7227,9.5e-05,9.5e-05,9.5e-05
17,70.8675,1.38686,2.08067,1.60515,0.73869,0.5554,0.57989,0.36455,1.43866,1.68782,1.7471,9.46667e-05,9.46667e-05,9.46667e-05
18,74.9046,1.39708,2.04946,1.59987,0.8208,0.48823,0.57217,0.29974,1.68823,1.79704,1.91771,9.43334e-05,9.43334e-05,9.43334e-05
19,78.9431,1.39669,2.00914,1.62858,0.75689,0.53051,0.59025,0.34494,1.49501,1.7549,1.7198,9.40001e-05,9.40001e-05,9.40001e-05
20,82.8839,1.36482,1.96582,1.58918,0.88288,0.52113,0.62572,0.40462,1.39436,1.70572,1.66223,9.36667e-05,9.36667e-05,9.36667e-05
21,86.8964,1.36409,1.97116,1.5791,0.85373,0.53414,0.63311,0.38708,1.42335,1.60946,1.65019,9.33334e-05,9.33334e-05,9.33334e-05
22,90.8544,1.3339,1.91426,1.55471,0.79791,0.55283,0.6387,0.41759,1.34946,1.5633,1.61111,9.30001e-05,9.30001e-05,9.30001e-05
23,94.7908,1.3377,1.95493,1.5685,0.92712,0.5134,0.6548,0.42227,1.37035,1.56361,1.6363,9.26667e-05,9.26667e-05,9.26667e-05
24,98.7373,1.32622,1.89825,1.55171,0.73978,0.56279,0.63099,0.39759,1.45744,1.61073,1.70407,9.23334e-05,9.23334e-05,9.23334e-05
25,102.891,1.33783,1.86787,1.55357,0.80435,0.58037,0.66472,0.39282,1.47458,1.49102,1.74006,9.20001e-05,9.20001e-05,9.20001e-05
26,107.078,1.27041,1.78904,1.51255,0.78482,0.58911,0.6788,0.42105,1.40555,1.48609,1.67093,9.16667e-05,9.16667e-05,9.16667e-05
27,111.199,1.31949,1.86165,1.53559,0.87912,0.59174,0.69933,0.44758,1.32745,1.4021,1.55294,9.13334e-05,9.13334e-05,9.13334e-05
28,115.275,1.29602,1.80179,1.52579,0.87581,0.5394,0.66408,0.42352,1.40953,1.45762,1.67376,9.10001e-05,9.10001e-05,9.10001e-05
29,119.578,1.26716,1.75483,1.49409,0.88239,0.53488,0.68328,0.44792,1.35828,1.44284,1.5927,9.06668e-05,9.06668e-05,9.06668e-05
30,123.675,1.2669,1.78352,1.50577,0.82738,0.58964,0.68574,0.44251,1.34175,1.39098,1.6092,9.03334e-05,9.03334e-05,9.03334e-05
31,127.843,1.25537,1.6791,1.48688,0.83934,0.57886,0.67244,0.44186,1.35354,1.3887,1.60956,9.00001e-05,9.00001e-05,9.00001e-05
32,132.046,1.25315,1.71943,1.49518,0.85078,0.57888,0.70678,0.47045,1.32912,1.36875,1.55176,8.96668e-05,8.96668e-05,8.96668e-05
33,136.246,1.24593,1.68822,1.49595,0.74426,0.65456,0.70874,0.47,1.37034,1.33234,1.6075,8.93334e-05,8.93334e-05,8.93334e-05
34,140.465,1.24214,1.69085,1.47709,0.87478,0.59162,0.71891,0.48305,1.27382,1.2862,1.5054,8.90001e-05,8.90001e-05,8.90001e-05
35,144.652,1.24717,1.67075,1.47398,0.87252,0.55585,0.71853,0.48315,1.28539,1.26354,1.49007,8.86668e-05,8.86668e-05,8.86668e-05
